Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
"Продавец/старший сотрудник супермаркета (Владимир, Ленина, 43)",Перекрёсток,40000-60000 руб.,https://hh.ru/vacancy/117073855,Владимир,11.02.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
SMM-менеджер,Ziti,от 60000 руб.,https://hh.ru/vacancy/117096452,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
Инженер по электроприводу и систем ЧПУ,КЕВ-РУС,Данные отсутствуют,https://hh.ru/vacancy/110754077,Владимир,21.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Уборщица/уборщик в магазин Smart (ул. Чайковского),"Сладкая жизнь, компания",34000-37300 руб.,https://hh.ru/vacancy/105022753,Владимир,25.02.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Врач-невролог взрослый/детский,Группа компаний «Zalevsky Group»,от 100000 руб.,https://hh.ru/vacancy/118009658,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
"Директор магазина (Славная, 1)","МАГНИТ, Розничная сеть",от 90000 руб.,https://hh.ru/vacancy/116204308,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
"Заместитель директора магазина (Владимир, Верхняя Дуброва, 38Ж)",Пятёрочка,60000-75000 руб.,https://hh.ru/vacancy/116902251,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,Добыча сырья
"Продавец (Владимир, Ленина, 43)",Перекрёсток,45000-55000 руб.,https://hh.ru/vacancy/117073661,Владимир,11.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
"Продавец (Владимир, Ленина, 37)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/117238670,Владимир,14.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
"Пекарь (Владимир, Юрьевец, Славная, 12)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/117389998,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Другое
Бухгалтер по ведению ИП,Собинский Хлебокомбинат,от 60000 руб.,https://hh.ru/vacancy/117135591,Владимир,12.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Инженер-электронщик,Владимирпассажиртранс,до 90000 руб.,https://hh.ru/vacancy/117423993,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
"Продавец-консультант Магнит Косметик ( Красноармейская, 44)","МАГНИТ, Розничная сеть",33000-42900 руб.,https://hh.ru/vacancy/117723585,Владимир,26.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Специалист Центра Безопасности (работа с тревожными сигналами),Цезарь Сателлит,40000-60000 руб.,https://hh.ru/vacancy/99605700,Владимир,28.02.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам корпоративного сегмента,Химгрупп,80000-150000 руб.,https://hh.ru/vacancy/116837257,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
"Продавец (Владимир, Строителей, 23)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/117438125,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Заместитель руководителя отдела Молоко/деликатесы (Эксперт),METRO Cash & Carry,от 73000 руб.,https://hh.ru/vacancy/117149968,Владимир,12.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Грузчик с опытом работы на погрузчике,Владимирский комбинат хлебопродуктов Мукомол,60000-70000 руб.,https://hh.ru/vacancy/93870392,Владимир,07.03.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Менеджер по оптовым продажам промышленного электрооборудования,ВИК-Энерго,60000-150000 руб.,https://hh.ru/vacancy/14471665,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Дворник (г.Владимир),Фэсилити Сервисиз Рус,от 38000 руб.,https://hh.ru/vacancy/108798986,Владимир,27.02.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
Инженер-лаборант,Бриз-кама,от 45000 руб.,https://hh.ru/vacancy/111407122,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Менеджер в федеральную компанию,Самолёт Плюс - Владимир,80000-120000 руб.,https://hh.ru/vacancy/116895951,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,Другое
Грузчик,"СНС, Группа компаний",46800-46800 руб.,https://hh.ru/vacancy/117502291,Владимир,20.02.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Официант,Русская деревня,от 35000 руб.,https://hh.ru/vacancy/112500886,Владимир,28.02.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Офис-менеджер,СПЕЦХОЛДИНГ,40000-50000 руб.,https://hh.ru/vacancy/117268841,Владимир,07.03.2025,Данные отсутствуют,Город Владимир,Административный персонал
"Продавец (Владимир, Ленина, 23)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/117705842,Владимир,25.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Водитель-экспедитор категории С,СмартТрак,от 100000 руб.,https://hh.ru/vacancy/97342410,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Фармацевт-провизор (г. Владимир),СБЕР (ООО еАптека),от 60000 руб.,https://hh.ru/vacancy/102207134,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
"Товаровед (Славная, 1)","МАГНИТ, Розничная сеть",от 60000 руб.,https://hh.ru/vacancy/116204191,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
"Продавец (Строителей, 9)","МАГНИТ, Розничная сеть",40000-60000 руб.,https://hh.ru/vacancy/116550341,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Главный ветеринарный врач,Управляющая компания Русское поле,Данные отсутствуют,https://hh.ru/vacancy/117008561,Владимир,10.02.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Водитель-Курьер в Пятёрочку,X5 Digital,до 210000 руб.,https://hh.ru/vacancy/112419158,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
"Продавец (Владимир, Нижняя Дуброва, 48)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/117576639,Владимир,21.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Грузчик,"Владзернопродукт, ПОВО",50000-60000 руб.,https://hh.ru/vacancy/103727776,Владимир,24.02.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Инженер-проектировщик ОВИК,Армада-строй,80000-140000 руб.,https://hh.ru/vacancy/116283831,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Инженер-проектировщик системы КИПиА,Технологии Тепла,Данные отсутствуют,https://hh.ru/vacancy/117325808,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Начинающий инженер по оптимизации радиосети,МегаФон,от 60000 руб.,https://hh.ru/vacancy/117404298,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Сотрудник ресторана (повар-кассир),Вкусно — и точка,до 58000 руб.,https://hh.ru/vacancy/117644401,Владимир,24.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Инженер-энергетик,Лукашов Д.В.,от 60000 руб.,https://hh.ru/vacancy/117101682,Владимир,11.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
"Сборщик заказов (Владимир, Перекопский военный, 16)",Пятёрочка,45000-50000 руб.,https://hh.ru/vacancy/117386060,Владимир,17.02.2025,Данные отсутствуют,Город Владимир,Другое
Инженер-проектировщик ПГС,Технологии Тепла,Данные отсутствуют,https://hh.ru/vacancy/117324523,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Упаковщик ОТК (корпусной мебели),Мебель Домой,от 70000 руб.,https://hh.ru/vacancy/117694848,Владимир,25.02.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Региональный менеджер по продажам (привлечение дилеров),Континент мебель,от 100000 руб.,https://hh.ru/vacancy/114974675,Владимир,07.03.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
"Продавец (Владимир, Спасское, Совхозная)",Пятёрочка,35000-45000 руб.,https://hh.ru/vacancy/116815406,Владимир,05.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Рабочий(ая) на производство/ Аппаратчик(ца),Владимирский комбинат хлебопродуктов Мукомол,50000-55000 руб.,https://hh.ru/vacancy/97317778,Владимир,12.02.2025,Данные отсутствуют,Город Владимир,Другое
Ведущий экономист,Abi,Данные отсутствуют,https://hh.ru/vacancy/115134644,Владимир,08.02.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
"Продавец (Владимир, Ленина, 65)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/117389904,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Экспедитор,"АГАТ, Управляющая компания",40000-60000 руб.,https://hh.ru/vacancy/116342433,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Фрезеровщик,РусМехПром,от 40000 руб.,https://hh.ru/vacancy/117445203,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,Другое
"Продавец ( Красноармейская, 44)","МАГНИТ, Розничная сеть",40000-60000 руб.,https://hh.ru/vacancy/117487491,Владимир,19.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Ведущий инженер отдела организации и управления доступом к ИТ-системам,Россельхозбанк,Данные отсутствуют,https://hh.ru/vacancy/117724720,Владимир,26.02.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Водитель погрузчика,Стамос,45000-45000 руб.,https://hh.ru/vacancy/116976177,Владимир,09.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Водитель категория С,ФГБУ Федеральный центр охраны здоровья животных,60000-70000 руб.,https://hh.ru/vacancy/117158368,Владимир,12.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
"Продавец (Владимир, Ленина, 42)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/117709437,Владимир,26.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Техник-электрик,Современные технологии,70000-70000 руб.,https://hh.ru/vacancy/109563272,Владимир,24.02.2025,Данные отсутствуют,Город Владимир,Другое
Слесарь-ремонтник,ВЗЖБИ,от 50000 руб.,https://hh.ru/vacancy/97815835,Владимир,27.02.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Водитель с личным автомобилем ГАЗель реф,Лосева Марина Александровна,до 220000 руб.,https://hh.ru/vacancy/112316341,Владимир,26.02.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Врач УЗИ диагностики взрослый/детский,Группа компаний «Zalevsky Group»,от 150000 руб.,https://hh.ru/vacancy/113716852,Владимир,10.02.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Стропальщик,ВЗЖБИ,Данные отсутствуют,https://hh.ru/vacancy/97718270,Владимир,27.02.2025,Данные отсутствуют,Город Владимир,Другое
"Продавец (Ставровская, 5А)","МАГНИТ, Розничная сеть",40000-60000 руб.,https://hh.ru/vacancy/116063772,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Учитель математики,МБОУ г.Владимир СОШ №43 им. Ю.Б.Левитана,Данные отсутствуют,https://hh.ru/vacancy/116900026,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Наука, образование"
Консультант по банковским продуктам,Бизнес-Поддержка,Данные отсутствуют,https://hh.ru/vacancy/117768544,Владимир,27.02.2025,Данные отсутствуют,Город Владимир,Другое
Специалист отдела финансового контроля,ПрощеБизнес,от 60000 руб.,https://hh.ru/vacancy/116813307,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Менеджер по развитию территории,Фасадные Кровельные Решения,60000-200000 руб.,https://hh.ru/vacancy/117063038,Владимир,10.02.2025,Данные отсутствуют,Город Владимир,Другое
Начальник отдела продаж,Русская деревня,от 50 руб.,https://hh.ru/vacancy/117613390,Владимир,28.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Автокурьер в городе Владимир,СТАФФ МЕНЕДЖМЕНТ ГРУПП,118025-186750 руб.,https://hh.ru/vacancy/112848409,Владимир,17.02.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по работе с партнерами,Бизнес-Поддержка,от 70000 руб.,https://hh.ru/vacancy/117691472,Владимир,25.02.2025,Данные отсутствуют,Город Владимир,Другое
Слесарь - универсал / Слесарь МСР (производство),ШильдПанель,от 70000 руб.,https://hh.ru/vacancy/117335111,Владимир,19.02.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
"Пекарь ( Славная, 1)","МАГНИТ, Розничная сеть",от 40000 руб.,https://hh.ru/vacancy/117574789,Владимир,21.02.2025,Данные отсутствуют,Город Владимир,Другое
Главный менеджер отдела продаж зарплатных проектов,Газпромбанк,от 105000 руб.,https://hh.ru/vacancy/117648503,Владимир,24.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Менеджер по продажам импортных электродвигателей и приводов,ВИК-Энерго,60000-150000 руб.,https://hh.ru/vacancy/24530378,Владимир,28.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Инженер по электрооборудованию,ВИК-Энерго,60000-90000 руб.,https://hh.ru/vacancy/82662975,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Экономист,ГБУЗ ВО ГБ №6 г.Владимира,35000-37000 руб.,https://hh.ru/vacancy/107931798,Владимир,27.02.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Литейщик пластмасс,Бриз-кама,45000-60000 руб.,https://hh.ru/vacancy/104589223,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам в магазин Аксон (ТЦ Лента),Аксон,от 60000 руб.,https://hh.ru/vacancy/117407612,Владимир,25.02.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Менеджер по работе с клиентами (теплая база),ВЕС-Медиа,60000-120000 руб.,https://hh.ru/vacancy/117629721,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
"Старший продавец (Сперанского, 11)","МАГНИТ, Розничная сеть",от 51600 руб.,https://hh.ru/vacancy/116204454,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
"Администратор/Старший продавец-кассир (Центр, ЦУМ Валентина)",FIX PRICE,47150-60050 руб.,https://hh.ru/vacancy/118022198,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,Розничная торговля
"Инженер-проектировщик АС, АР, КМ, КР, КЖ (Теплоэнергетика)",Модульные котельные системы,до 180000 руб.,https://hh.ru/vacancy/115262966,Владимир,09.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Бухгалтер,WoodCraft,от 50000 руб.,https://hh.ru/vacancy/115773753,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Специалист технической поддержки,Цезарь Сателлит,35000-50000 руб.,https://hh.ru/vacancy/116795954,Владимир,21.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Диспетчер - бригадир,Управляющая компания Русское поле,Данные отсутствуют,https://hh.ru/vacancy/116814129,Владимир,26.02.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по оптовым продажам,Электрокомплект,80000-170000 руб.,https://hh.ru/vacancy/117163907,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Экспедитор,"АГАТ, Управляющая компания",40000-60000 руб.,https://hh.ru/vacancy/116426915,Владимир,26.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Повар в горячий цех,Heaad,50000-70000 руб.,https://hh.ru/vacancy/117576149,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Электромонтажник/Электромонтер/Инженер-Электрик в электролабораторию,Межрегиональный центр метрологического обеспечения,от 70000 руб.,https://hh.ru/vacancy/117826350,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Плотник бетонщик,Уником,от 65000 руб.,https://hh.ru/vacancy/117128037,Владимир,12.02.2025,Данные отсутствуют,Город Владимир,Другое
Управляющий АГЗС (автогазозаправочными станциями),ЮТА-АГ,75000-100000 руб.,https://hh.ru/vacancy/116567730,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Слесарь механосборочных работ,Линион,от 65000 руб.,https://hh.ru/vacancy/117549319,Владимир,21.02.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Работник на стройматериалы (пос. Юрьевец),Аксон,от 60000 руб.,https://hh.ru/vacancy/117246633,Владимир,25.02.2025,Данные отсутствуют,Город Владимир,Другое
"Товаровед (Пичугина, 13А)","МАГНИТ, Розничная сеть",от 60000 руб.,https://hh.ru/vacancy/99732540,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Бригадир (зона выращивания птицы),Управляющая компания Русское поле,65000-70000 руб.,https://hh.ru/vacancy/118041453,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,Другое
Драпировщик на мягкую мебель,Фабрика мебели Комфорт,от 80000 руб.,https://hh.ru/vacancy/117400839,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,Другое
Курьер пеший заказов и товаров для дома (2-4кг),Премьер,81000-132000 руб.,https://hh.ru/vacancy/117125388,Владимир,12.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
"Продавец-консультант (Владимир, Нижняя Дуброва)",Мильстрим-Черноморские Вина,47500-55300 руб.,https://hh.ru/vacancy/117409577,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Кладовщик-комплектовщик/Старший кладовщик,ШильдПанель,от 50000 руб.,https://hh.ru/vacancy/113720030,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
"Пекарь (Владимир, Верхняя Дуброва, 38Ж)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/117706850,Владимир,25.02.2025,Данные отсутствуют,Город Владимир,Другое
Старший кассир (касса пересчета),Банк ВТБ (ПАО),Данные отсутствуют,https://hh.ru/vacancy/113147565,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Стропальщик,Уником,от 65000 руб.,https://hh.ru/vacancy/117128015,Владимир,12.02.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам импортной кабельно-проводниковой продукции,ВИК-Энерго,60000-100000 руб.,https://hh.ru/vacancy/14114198,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
"Продавец-консультант Магнит Косметик ( Чайковского, 14)","МАГНИТ, Розничная сеть",33000-42900 руб.,https://hh.ru/vacancy/117740323,Владимир,26.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Сотрудник ресторана KFC / КФС (Киномакс),ЭЙ КЕЙ РЕСТОРАНТС РАША,39000-56000 руб.,https://hh.ru/vacancy/117290824,Владимир,15.02.2025,Данные отсутствуют,Город Владимир,Другое
"Администратор магазина (Владимир, Верхняя Дуброва, 38Ж)",Пятёрочка,65000-75000 руб.,https://hh.ru/vacancy/117796528,Владимир,27.02.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Мастер по рекламациям,Всебочки.ру,100000-100000 руб.,https://hh.ru/vacancy/117525337,Владимир,20.02.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
Продавец - кассир (ул Красноармейская ТАКСИ НА ВЕЧЕР),"Бристоль, сеть магазинов",54300-62000 руб.,https://hh.ru/vacancy/118054825,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Руководитель группы мобильных продавцов/Руководитель территориальных продаж,Ингосстрах,Данные отсутствуют,https://hh.ru/vacancy/116760357,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
"Мерчендайзер визитный (контрацепция, Ленинский район, дискаунтеры)",ANCOR,от 21600 руб.,https://hh.ru/vacancy/117680492,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Торговый представитель,Фасадные Кровельные Решения,70000-200000 руб.,https://hh.ru/vacancy/117063084,Владимир,10.02.2025,Данные отсутствуют,Город Владимир,Другое
"Пекарь (Нижняя Дуброва, 30А)","МАГНИТ, Розничная сеть",от 40000 руб.,https://hh.ru/vacancy/116570797,Владимир,27.02.2025,Данные отсутствуют,Город Владимир,Другое
"Товаровед (Ставровская, 5А)","МАГНИТ, Розничная сеть",от 60000 руб.,https://hh.ru/vacancy/116595294,Владимир,28.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
"Продавец-консультант Магнит Косметик (Дворянская, 10)","МАГНИТ, Розничная сеть",33000-42900 руб.,https://hh.ru/vacancy/116766015,Владимир,26.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Инженер-проектировщик систем электроснабжения,Технологии Тепла,Данные отсутствуют,https://hh.ru/vacancy/117325366,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,Закупки
Инженер (системы инженерного обеспечения),Филиал ФКУ Центр по обеспечению деятельности Казначейства России в г. Владимир,от 45000 руб.,https://hh.ru/vacancy/117691173,Владимир,25.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Менеджер по продажам (Обучаем с нуля),2ГИС ЦФО,65000-100000 руб.,https://hh.ru/vacancy/87739994,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Ведущий инженер,ФГАУ РОСЖИЛКОМПЛЕКС,от 45000 руб.,https://hh.ru/vacancy/115138500,Владимир,08.02.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Ведущий менеджер по эквайрингу,Банк Русский Стандарт,Данные отсутствуют,https://hh.ru/vacancy/111836824,Владимир,17.02.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Уборщик/уборщица офисных помещений (мкр. Юрьевец),Континент мебель,от 25000 руб.,https://hh.ru/vacancy/114975151,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
"Продавец (Владимир, Верхняя Дуброва, 21)",Пятёрочка,42000-47000 руб.,https://hh.ru/vacancy/117596262,Владимир,24.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Руководитель филиала,Интерлизинг,Данные отсутствуют,https://hh.ru/vacancy/111864448,Владимир,24.02.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
"Сборщик заказов (Владимир, Мира, 4)",Пятёрочка,45000-50000 руб.,https://hh.ru/vacancy/117587957,Владимир,22.02.2025,Данные отсутствуют,Город Владимир,Другое
"Сборщик заказов (Владимир, Мира, 4)",Пятёрочка,45000-50000 руб.,https://hh.ru/vacancy/117587957,Владимир,22.02.2025,Данные отсутствуют,Город Владимир,Другое
"Продавец (Ленина, 19)","МАГНИТ, Розничная сеть",40000-60000 руб.,https://hh.ru/vacancy/117876510,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Повар-универсал,Русская деревня,от 50000 руб.,https://hh.ru/vacancy/113319902,Владимир,28.02.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Слесарь-инструментальщик,РусМехПром,от 40000 руб.,https://hh.ru/vacancy/117445222,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Продавец (ул. Тихонравова),"ДИКСИ, группа компаний",40425-44467 руб.,https://hh.ru/vacancy/117109182,Владимир,04.03.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Инженер по планированию,Владпромсыр,Данные отсутствуют,https://hh.ru/vacancy/117211941,Владимир,13.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Технолог производства,Модульные котельные системы,80000-140000 руб.,https://hh.ru/vacancy/115165978,Владимир,07.02.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Наладчик оборудования,Управляющая компания Русское поле,от 75000 руб.,https://hh.ru/vacancy/117907272,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Продавец-кассир,Чижик,60000-60000 руб.,https://hh.ru/vacancy/117022216,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Ветеринарный врач (эпизоотолог),Управляющая компания Русское поле,Данные отсутствуют,https://hh.ru/vacancy/117411846,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Менеджер по продажам услуг (собственная продукция),Русская деревня,30000-50000 руб.,https://hh.ru/vacancy/117612843,Владимир,28.02.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Контролер торгового зала,Аксон,от 30000 руб.,https://hh.ru/vacancy/115414976,Владимир,05.03.2025,Данные отсутствуют,Город Владимир,Безопасность
"Продавец (Верхняя Дуброва, 26)","МАГНИТ, Розничная сеть",40000-60000 руб.,https://hh.ru/vacancy/116064270,Владимир,18.02.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Продавец-универсал в магазин SMART,"Сладкая жизнь, компания",55000-60000 руб.,https://hh.ru/vacancy/115392977,Владимир,25.02.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Столяр-каркасник/столяр на станок ЧПУ на производство мягкой мебели,Седьмая Карета,80000-120000 руб.,https://hh.ru/vacancy/117039338,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,Другое
Рабочий в отдел гальваники (производство),ШильдПанель,от 55000 руб.,https://hh.ru/vacancy/117608078,Владимир,24.02.2025,Данные отсутствуют,Город Владимир,Другое
Уборщик/Уборщица,БУРГЕР КИНГ РОССИЯ,40000-60000 руб.,https://hh.ru/vacancy/117722620,Владимир,07.03.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
Курьер,СТАФФ МЕНЕДЖМЕНТ ГРУПП,до 163520 руб.,https://hh.ru/vacancy/115982053,Владимир,20.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Автокурьер по доставке на личном автомобиле,СБЕР (ООО еАптека),60000-70000 руб.,https://hh.ru/vacancy/116706149,Владимир,03.03.2025,Данные отсутствуют,Город Владимир,Другое
Мастер по обслуживанию холодильного оборудования,АртСтройМонтаж,50000-70000 руб.,https://hh.ru/vacancy/118033030,Покров,06.03.2025,Данные отсутствуют,Городской округ Покров,Другое
Процедурная медицинская сестра / Процедурный медицинский брат,Группа компаний «Zalevsky Group»,от 58000 руб.,https://hh.ru/vacancy/109971970,Владимир,11.02.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Слесарь-ремонтник,Владимирский комбинат хлебопродуктов Мукомол,50000-60000 руб.,https://hh.ru/vacancy/112480555,Владимир,06.03.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
"Менеджер в команду Самолет Плюс, г.Владимир",Самолёт Плюс - Владимир,90000-150000 руб.,https://hh.ru/vacancy/116895051,Владимир,07.03.2025,Данные отсутствуют,Город Владимир,Другое
Специалист участка травления (производство),ШильдПанель,от 40000 руб.,https://hh.ru/vacancy/116795810,Владимир,14.02.2025,Данные отсутствуют,Город Владимир,Другое
Комплектовщик,Триал Маркет,от 55000 руб.,https://hh.ru/vacancy/117130444,Владимир,12.02.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
