Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
Инженер-проектировщик систем вентиляции и кондиционирования,Abi,Данные отсутствуют,https://hh.ru/vacancy/121747144,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Специалист по логистике,Сеть магазинов цифровой и бытовой техники DNS,55000-65000 руб.,https://hh.ru/vacancy/120492210,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Менеджер по продажам светотехники (B2B проекты),Модный свет,60000-180000 руб.,https://hh.ru/vacancy/121490313,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Монтажник по подключению абонентов,Ростелеком,60000-80000 руб.,https://hh.ru/vacancy/117492058,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Инженер КИПиА,Abi,Данные отсутствуют,https://hh.ru/vacancy/119246338,Владимир,06.06.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Кладовщик склада автозапчастей,Карго Траст,Данные отсутствуют,https://hh.ru/vacancy/119674947,Владимир,10.06.2025,Данные отсутствуют,Город Владимир,Автомобильный бизнес
"Продавец-консультант (ТЦ ""Мегаторг"")","Подружка, сеть магазинов",37500-40500 руб.,https://hh.ru/vacancy/121549132,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Менеджер по работе с корпоративными клиентами,Капитал Лайф Страхование Жизни,Данные отсутствуют,https://hh.ru/vacancy/120218919,Владимир,11.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Работник склада - стропальщик,Ресурс-М,60000-80000 руб.,https://hh.ru/vacancy/121348375,Владимир,04.06.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Менеджер-дизайнер мебели (ТЦ Тандем),Мебельная компания «Шатура»,50000-100000 руб.,https://hh.ru/vacancy/121688031,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Машинист экскаватора,Abi,Данные отсутствуют,https://hh.ru/vacancy/121338029,Суздаль,04.06.2025,Данные отсутствуют,Суздальский район,Другое
"Кладовщик ( ул. Тракторная, 39 )",М.Видео-Эльдорадо,45000-58000 руб.,https://hh.ru/vacancy/120910960,Владимир,23.05.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Управляющий магазином одежды (Владимир),Модный город (ООО Алгоритм),90000-120000 руб.,https://hh.ru/vacancy/121222995,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Инженер-технолог ЖБИ,Урина Елена Владимировна,от 90000 руб.,https://hh.ru/vacancy/120799413,Владимир,30.05.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Маркетолог-аналитик / продуктовый маркетолог,Abi,от 50000 руб.,https://hh.ru/vacancy/121266220,Владимир,03.06.2025,Данные отсутствуют,Город Владимир,"Маркетинг, реклама, PR"
Кладовщик (автозапчасти),ГК АГАТ,60000-70000 руб.,https://hh.ru/vacancy/121548451,Владимир,11.06.2025,Данные отсутствуют,Город Владимир,Автомобильный бизнес
Продавец-консультант ТЦ Мегаторг на лето,Lamoda,от 50000 руб.,https://hh.ru/vacancy/121593425,Владимир,11.06.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Мастер-приемщик кузовного цеха,РА Максимум,100000-130000 руб.,https://hh.ru/vacancy/120895575,Владимир,19.06.2025,Данные отсутствуют,Город Владимир,Другое
Инженер-проектировщик систем водоснабжения и водоотведения,Abi,Данные отсутствуют,https://hh.ru/vacancy/121747187,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,Закупки
Автомеханик / Автослесарь / Слесарь по ремонту автомобиля,ТТЦ У Петровича,от 100000 руб.,https://hh.ru/vacancy/121546752,Владимир,11.06.2025,Данные отсутствуют,Город Владимир,Автомобильный бизнес
Ведущий инженер-конструктор,Abi,Данные отсутствуют,https://hh.ru/vacancy/120955102,Владимир,26.05.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Финансовый контролер (стройка),Abi,Данные отсутствуют,https://hh.ru/vacancy/121656366,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,Безопасность
Горничная,Управление Активами,45000-50000 руб.,https://hh.ru/vacancy/117787960,Владимир,03.06.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Продавец-консультант (ТЦ Торговые ряды),Технопарк,от 70000 руб.,https://hh.ru/vacancy/121570839,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Заместитель главного бухгалтера,ГК Системы и Технологии,до 70000 руб.,https://hh.ru/vacancy/107006429,Владимир,29.05.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Менеджер по работе с клиентами,Компания ПЭК,от 42600 руб.,https://hh.ru/vacancy/121328381,Владимир,19.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Заместитель руководителя подразделения (Федеральное подразделение),Филиал ГКУ Владимирской области Центр занятости населения Владимирской области Владимирский,Данные отсутствуют,https://hh.ru/vacancy/121024297,Владимир,27.05.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Специалист клиентского сервиса,Автоцентр-Владимир на Рокадной,от 40000 руб.,https://hh.ru/vacancy/121680827,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Монтажник окон ПВХ,Монострой,Данные отсутствуют,https://hh.ru/vacancy/120702377,Владимир,11.06.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Специалист по управлению ИКТ-активами,Abi,Данные отсутствуют,https://hh.ru/vacancy/117827061,Владимир,29.05.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам (без поиска клиентов),КОНТАКТОН,70000-90000 руб.,https://hh.ru/vacancy/118482542,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Инженер-проектировщик систем пожаротушения,ВСТ-ГРУПП,110000-130000 руб.,https://hh.ru/vacancy/119169776,Владимир,11.06.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Начальник сметного отдела,Проектный институт Владимиравтодорпроект,от 120000 руб.,https://hh.ru/vacancy/120695646,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,Другое
"Сборщик заказов (Владимир, Строителей, 40)",Пятёрочка,45000-50000 руб.,https://hh.ru/vacancy/121000270,Владимир,27.05.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Машинист бульдозера,Abi,Данные отсутствуют,https://hh.ru/vacancy/121339478,Юрьев-Польский,04.06.2025,Данные отсутствуют,Юрьев-Польский муниципальный округ,Другое
